,param1,param10,param11,param12,param13,param14,param15,param16,param17,param18,param19,param2,param20,param3,param4,param5,param6,param7,param8,param9
1005_glass,65.88372093023256,71.23255813953487,65.3953488372093,64.02325581395351,70.95348837209302,70.18604651162791,70.95348837209303,66.81395348837209,64.72093023255815,62.79069767441861,69.58139534883722,65.46511627906976,64.37209302325581,61.34883720930232,68.32558139534882,67.06976744186046,70.06976744186046,71.6046511627907,71.3953488372093,69.90697674418604
1011_ecoli,99.83703703703705,99.85185185185185,99.92592592592592,99.73333333333332,99.77777777777777,99.6,99.77777777777777,99.73333333333332,99.70370370370371,99.82222222222221,99.68888888888887,99.92592592592592,99.74814814814816,99.85185185185185,100.0,99.85185185185185,99.95555555555555,99.61481481481482,99.64444444444445,99.71851851851852
1045_kc1-top5,94.15384615384615,92.44444444444444,92.10256410256409,89.50427350427351,93.33333333333331,93.02564102564102,90.35897435897436,,92.92307692307692,92.6153846153846,,90.66666666666666,93.36752136752136,93.81196581196579,94.017094017094,94.017094017094,93.43589743589745,92.58119658119655,93.64102564102564,90.49572649572649
1048_jEdit_4.2_4.3,65.82432432432434,66.82432432432432,66.82432432432432,,,,66.41891891891892,,,,,67.70270270270271,,65.24324324324324,68.45945945945945,,66.39189189189189,68.75675675675676,68.24324324324324,68.24324324324326
1059_ar1,87.10204081632654,90.93877551020408,90.57142857142858,91.06122448979592,88.53061224489798,89.71428571428574,90.77551020408166,91.3469387755102,90.00000000000004,91.18367346938778,90.48979591836736,78.04081632653063,90.73469387755104,85.26530612244899,81.6734693877551,80.65306122448979,91.3061224489796,89.91836734693878,91.3469387755102,91.38775510204084
1061_ar4,61.62790697674418,79.44186046511626,76.97674418604652,78.41860465116278,76.04651162790697,80.27906976744187,80.41860465116278,71.44186046511626,76.0,74.13953488372094,76.93023255813951,68.51162790697674,77.25581395348838,70.69767441860466,65.16279069767441,65.67441860465118,77.48837209302326,73.7674418604651,74.65116279069767,76.09302325581395
1064_ar6,84.98765432098767,81.08641975308642,80.0,82.91358024691358,85.18518518518519,82.46913580246914,85.18518518518519,82.8641975308642,80.24691358024691,84.44444444444446,84.64197530864199,84.69135802469137,85.03703703703705,85.18518518518519,74.81481481481481,85.18518518518519,78.32098765432099,85.08641975308642,85.18518518518519,82.02469135802468
1066_kc1-binary,66.93103448275863,66.44827586206898,68.24137931034481,69.3103448275862,68.0344827586207,68.65517241379311,66.3103448275862,70.6551724137931,67.75862068965517,71.24137931034484,,63.27586206896552,64.65517241379311,63.06896551724138,,,68.68965517241382,67.34482758620689,63.58620689655172,
1073_jEdit_4.0_4.2,71.29090909090908,71.41818181818181,72.61818181818181,74.47272727272725,74.12727272727273,74.76363636363638,74.41818181818181,,,,,70.81818181818183,,71.81818181818181,72.10909090909091,70.38181818181819,71.16363636363636,71.05454545454545,73.0,71.56363636363633
1075_datatrieve,87.12380952380954,89.2190476190476,84.76190476190473,81.75238095238095,83.42857142857143,83.5047619047619,81.02857142857142,86.8952380952381,88.34285714285713,85.25714285714288,84.68571428571428,88.41904761904762,83.73333333333333,88.22857142857143,88.26666666666668,88.57142857142858,78.93333333333331,85.90476190476194,83.6952380952381,89.18095238095239
1413_MyIris,98.46666666666668,100.0,99.5,99.53333333333332,99.00000000000004,99.43333333333334,99.7,98.26666666666668,98.16666666666666,97.63333333333333,97.76666666666668,98.96666666666664,98.0,99.3,100.0,100.0,100.0,100.0,100.0,100.0
1441_KungChi3,70.62626262626263,84.28282828282829,86.86868686868686,86.86868686868686,84.8888888888889,86.06060606060608,86.86868686868686,86.86868686868686,86.86868686868686,86.86868686868686,86.86868686868686,67.51515151515152,86.86868686868686,67.75757575757576,67.67676767676768,71.79797979797979,83.51515151515153,86.86868686868686,82.34343434343434,82.14141414141416
1442_MegaWatt1,52.51231527093596,89.16256157635469,81.1822660098522,86.50246305418719,83.8423645320197,78.52216748768471,75.86206896551724,89.16256157635469,,89.16256157635469,,43.34975369458128,,61.39901477832513,52.512315270935964,70.83743842364531,89.16256157635469,89.16256157635469,82.87684729064037,87.64532019704433
1446_CostaMadre1,78.10084033613445,,,,,,,,,,,60.352941176470594,,45.361344537815135,68.67226890756302,59.932773109243705,,,,
1448_KnuggetChase3,68.61538461538461,67.33333333333333,81.41025641025641,81.41025641025641,81.41025641025641,81.46153846153847,81.41025641025641,,81.41025641025641,,81.41025641025641,77.74358974358974,,76.66666666666666,78.64102564102564,77.53846153846153,69.66666666666666,67.38461538461539,69.05128205128206,62.61538461538462
1449_MeanWhile1,52.51231527093596,89.16256157635469,81.1822660098522,75.86206896551724,78.52216748768474,81.1822660098522,75.86206896551724,,,,,52.512315270935964,,61.67487684729063,52.51231527093596,52.51231527093596,89.16256157635469,85.2216748768473,82.79802955665023,89.16256157635469
1465_breast-tissue,76.36781609195403,76.04597701149426,57.51724137931034,55.63218390804597,57.3793103448276,60.7816091954023,56.96551724137932,51.86206896551725,49.51724137931034,51.58620689655172,49.93103448275862,72.64367816091955,52.96551724137932,75.08045977011494,73.47126436781608,74.52873563218391,78.20689655172414,74.6206896551724,73.47126436781609,74.29885057471266
763_fri_c0_250_10,56.67999999999999,59.44,68.2,62.12000000000001,65.8,62.5,62.02,63.86,62.82000000000001,,63.96,60.5,64.86,56.62000000000001,66.02000000000001,60.98,63.05999999999999,57.16,66.53999999999999,58.92
768_fri_c3_100_25,53.0,50.85,51.95,51.5,52.85,53.2,50.4,50.25,49.55,52.05,48.5,53.7,44.65,54.05,51.4,53.45,51.8,49.95,52.85,51.3
769_fri_c1_250_50,52.796019900497505,,,,53.014925373134325,,,54.626865671641795,,,,,,52.159203980099505,51.42288557213931,51.98009950248756,51.24378109452736,,51.06467661691543,
773_fri_c0_250_25,52.01990049751244,57.393034825870636,62.407960199004975,56.636815920398,60.23880597014926,60.97512437810946,,,,,,57.99004975124378,61.43283582089553,52.21890547263681,54.12935323383084,53.85074626865672,59.66169154228855,58.80597014925373,,55.681592039801004
775_fri_c2_100_25,54.814814814814824,52.839506172839506,55.30864197530864,54.320987654320994,56.641975308641975,52.790123456790134,55.45679012345679,60.839506172839506,57.1358024691358,53.53086419753087,55.506172839506156,55.80246913580247,62.61728395061729,54.66666666666666,55.90123456790123,54.02469135802468,53.4320987654321,58.12345679012346,55.308641975308646,54.17283950617285
776_fri_c0_250_5,69.66,67.25999999999999,68.64,73.1,70.23999999999998,69.94000000000001,69.68,69.42,,65.16,71.48,65.88,71.72,68.41999999999999,65.67999999999999,68.36,68.5,70.76,68.88000000000001,67.44000000000001
778_bodyfat,82.22660098522167,81.02463054187194,,80.2758620689655,73.41871921182265,75.0935960591133,84.72906403940884,,,,70.66009852216749,86.26600985221675,82.48275862068967,80.84729064039409,82.26600985221673,86.56157635467981,73.30049261083744,84.03940886699506,78.7192118226601,83.60591133004927
782_rabe_266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
